statnm,statid,chgerid,chgertype,addrdoro,lat,lng,usetime,stat
압구정 428 공영주차장1,ME19A801,03,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,0
압구정 428 공영주차장1,ME19A801,05,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,0
압구정 428 공영주차장1,ME19A801,08,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,1
압구정 428 공영주차장1,ME19A801,02,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,2
압구정 428 공영주차장1,ME19A801,07,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,0
압구정 428 공영주차장1,ME19A801,01,04,서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,09:00~21:00,0
롯데아울렛 이천점1,ME19A802,05,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,5
롯데아울렛 이천점1,ME19A802,06,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,2
롯데아울렛 이천점1,ME19A802,08,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,1
롯데아울렛 이천점1,ME19A802,07,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,3
롯데아울렛 이천점1,ME19A802,01,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,2
롯데아울렛 이천점1,ME19A802,04,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,2
롯데아울렛 이천점1,ME19A802,02,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,2
롯데아울렛 이천점1,ME19A802,03,04,경기도 이천시 호법면 프리미엄 아울렛로 177-74,37.241895625921,127.3986030142,09:00~22:00,1
장덕도서관,ME19B101,01,04,광주광역시 광산구 풍영로179,35.18757,126.813955,24시간 이용가능,2
한국환경공단 호남지역본부,ME19B102,01,04,광주광역시 광산구 무진대로 217,35.16624192,126.8045499,24시간 이용가능,2
서석동 공영주차장,ME19B103,01,04,광주광역시 동구 서석동 24-2,35.144405,126.924359,24시간 이용가능,2
양동주민센터,ME19B104,01,04,광주광역시 서구 천변좌로222번길 3-2,35.154922,126.900786,24시간 이용가능,3
양3동주민센터,ME19B105,01,04,광주광역시 서구 상무대로1223번길 16,35.157288,126.894275,24시간 이용가능,1
농성2동주민센타,ME19B106,01,04,광주광역시 서구 화정로 314,35.15036,126.890157,24시간 이용가능,2
장동 주차장 1,ME19B107,01,04,대전광역시 대덕구 장동 366-11,36.413999,127.437466,24시간 이용가능,2
장동 주차장 2,ME19B108,01,04,대전광역시 대덕구 장동 326-17,36.415007,127.440626,24시간 이용가능,2
